Column,DataType,Expression
Geometry,Binary,
AREA,Real,
STATE_NAME,String,
STATE_FIPS,String,
SUB_REGION,String,
STATE_ABBR,String,
POP1990,Real,
POP1997,Real,
POP90_SQMI,Real,
HOUSEHOLDS,Real,
MALES,Real,
FEMALES,Real,
WHITE,Real,
BLACK,Real,
AMERI_ES,Real,
ASIAN_PI,Real,
OTHER,Real,
HISPANIC,Real,
AGE_UNDER5,Real,
AGE_5_17,Real,
AGE_18_29,Real,
AGE_30_49,Real,
AGE_50_64,Real,
AGE_65_UP,Real,
NEVERMARRY,Real,
MARRIED,Real,
SEPARATED,Real,
WIDOWED,Real,
DIVORCED,Real,
HSEHLD_1_M,Real,
HSEHLD_1_F,Real,
MARHH_CHD,Real,
MARHH_NO_C,Real,
MHH_CHILD,Real,
FHH_CHILD,Real,
HSE_UNITS,Real,
VACANT,Real,
OWNER_OCC,Real,
RENTER_OCC,Real,
MEDIAN_VAL,Real,
MEDIANRENT,Integer,
UNITS_1DET,Real,
UNITS_1ATT,Real,
UNITS2,Real,
UNITS3_9,Real,
UNITS10_49,Real,
UNITS50_UP,Real,
MOBILEHOME,Real,
NO_FARMS87,Real,
AVG_SIZE87,Real,
CROP_ACR87,Real,
AVG_SALE87,Real,
XMin,Real,
XMax,Real,
YMin,Real,
YMax,Real,
XCenter,Real,
YCenter,Real,
